avar_word,russian_translations,english_translations,examples
Австралиялъул,АВСТРАЛИЙСКИЙ,,
Австриялъул,АВСТРИЙСКИЙ,,
Алжиралъул,АЛЖИРСКИЙ,,
Аллагь,АЛЛАХ,,
Африкаялъул,АФРИКАНСКИЙ,,
абажур,АБАЖУР,,
абазинав,АБАЗИНЕЦ,,
абазиназул,АБАЗИНСКИЙ,,
абазиназулаб,АБАЗИНСКИЙ,,
абазинай,АБАЗИНКА,,
абазинал,АБАЗИНЦЫ,,
аббат,АББАТ,,
аббревиатура,АББРЕВИАТУРА,,
абзац,АБЗАЦ,,
абитуриент,АБИТУРИЕНТ,,
абитуриентка,АБИТУРИЕНТКА,,
абонемент,АБОНЕМЕНТ,,
абонемент бугев чи,АБОНЕНТ,,
абонент,АБОНЕНТ,,
аборигенал,АБОРИГЕНЫ,,
аборт,АБОРТ,,
абрикосовый,АБРИКОСНЫЙ,,
абсолютизм,АБСОЛЮТИЗМ,,
абсолютияб,АБСОЛЮТНЫЙ,,
абстрактияб,АБСТРАКТНЫЙ,,
абстрактияб искусствоялъул вакил,АБСТРАКЦИОНИСТ,,
абстрактияб искусствоялъул нух,АБСТРАКЦИОНИЗМ,,
абстракционизм,АБСТРАКЦИОНИЗМ,,
абстракционизмалъул вакил,АБСТРАКЦИОНИСТ,,
абстракционизмалъулаб,АБСТРАКЦИОНИСТСКИЙ,,
абстракционист,АБСТРАКЦИОНИСТ,,
абстракция,АБСТРАКЦИЯ,,
абсцесс,АБСЦЕСС,,
абсцисса,АБСЦИССА,,
абхаз,АБХАЗСКИЙ,,
абхазав,АБХАЗ,,
абхазав,АБХАЗЕЦ,,
абхазазулаб,АБХАЗСКИЙ,,
абхазай,АБХАЗКА,,
абхазал,АБХАЗЫ,,
абхазал,АБХАЗЦЫ,,
авангард,АВАНГАРД,,
аванпост,АВАНПОСТ,,
аванс,АВАНС,,
аванс биччазе,АВАНСИРОВАТЬ,,
аванс кьезе,АВАНСИРОВАТЬ,,
авансалъулаб,АВАНСОВЫЙ,,
аванслъун,АВАНСОМ,,
авансцена,АВАНСЦЕНА,,
авантюра,АВАНТЮРА,,
авантюра гъорлъ бугеб,АВАНТЮРНЫЙ,,
авантюрачи,АВАНТЮРИСТ,,
авантюрачIужу,АВАНТЮРИСТКА,,
авантюризм,АВАНТЮРИЗМ,,
авантюрист,АВАНТЮРИСТ,,
авантюристияб,АВАНТЮРИСТИЧЕСКИЙ,,
авантюристка,АВАНТЮРИСТКА,,
авантюрияб,АВАНТЮРНЫЙ,,
авар,АВАРСКИЙ,,
аварав,АВАРЕЦ,,
аваразул,АВАРСКИЙ,,
аварай,АВАРКА,,
аварал,АВАРЦЫ,,
авария,АВАРИЯ,,
авария ккей,АВАРИЙНОСТЬ,,
авариялъулаб,АВАРИЙНЫЙ,,
август,АВГУСТ,,
августалъул,АВГУСТОВСКИЙ,,
авиабаза,АВИАБАЗА,,
авиабилет,АВИАБИЛЕТ,,
авиабухьен,АВИАСООБЩЕНИЕ,,
авиадесант,АВИАДЕСАНТ,,
авиазавод,АВИАЗАВОД,,
авиакомпания,АВИАКОМПАНИЯ,,
авиаконструктор,АВИАКОНСТРУКТОР,,
авиамоделал гьарулев чи,АВИАМОДЕЛИСТ,,
авиамоделизм,АВИАМОДЕЛИЗМ,,
