AVAR;RUSSIAN;ENGLISH
абажур;﻿АБАЖУР;
абазиназул;АБАЗИНСКИЙ;
абазиназулаб;АБАЗИНСКИЙ;
абзац;АБЗАЦ;
абонемент бугев чи;АБОНЕНТ;
абонент;АБОНЕНТ;
аборигенал;АБОРИГЕНЫ;
цIакъ цебего гьениб букIараб халкъ;АБОРИГЕНЫ;
цо бакIалъул аслияб;АБОРИГЕНЫ;
аборт;АБОРТ;
лъимер тIами;АБОРТ;
лъимер тIамизаби;АБОРТ;
гIабурикI;АБРЕК;
ахбазаналъул;АБРИКОСНЫЙ;
абрикосовый;АБРИКОСНЫЙ;
тIубанго;АБСОЛЮТНО;
абсолютияб;АБСОЛЮТНЫЙ;
бакIалъул яги заманалъул шартIазда бачIеб;АБСОЛЮТНЫЙ;
жибго жиндаго чIун босараб;АБСОЛЮТНЫЙ;
сунданиги бухьинчIеб;АБСОЛЮТНЫЙ;
тIубараб;АБСОЛЮТНЫЙ;
хIакъикъат;АБСОЛЮТНЫЙ;
хIакъикъияб жо;АБСОЛЮТНЫЙ;
баянаб гуреб куцалъ сундулниги пикру гьабизе;АБСТРАГИРОВАТЬ;
абстрактияб;АБСТРАКТНЫЙ;
чIван къотIараб гуреб;АБСТРАКТНЫЙ;
абстрактияб искусствоялъул нух;АБСТРАКЦИОНИЗМ;
абстракционизм;АБСТРАКЦИОНИЗМ;
абстрактияб искусствоялъул вакил;АБСТРАКЦИОНИСТ;
абстракционизмалъул вакил;АБСТРАКЦИОНИСТ;
абстракционист;АБСТРАКЦИОНИСТ;
абстракционизма-лъулаб;АБСТРАКЦИОНИСТСКИЙ;
магIна гьечIеб жо;АБСУРД;
чIанда;АБСУРД;
чIобогояб;АБСУРД;
магIна гьечIеб;АБСУРДНЫЙ;
чIанаяб;АБСУРДНЫЙ;
абсцесс;АБСЦЕСС;
гьорой;АБСЦЕСС;
жаниб рецIцI ккун;АБСЦЕСС;
хьордой;АБСЦЕСС;
абхаз;АБХАЗСКИЙ;
абхазазулаб;АБХАЗСКИЙ;
авангард;АВАНГАРД;
цебехъан;АВАНГАРД;
цебехъанлъиялъулаб;АВАНГАРДНЫЙ;
аванпост;АВАНПОСТ;
цебесеб пост;АВАНПОСТ;
аван выдать;АВАНС;
аванс биччазе;АВАНСИРОВАТЬ;
аванс кьезе;АВАНСИРОВАТЬ;
авансалъулаб;АВАНСОВЫЙ;
аванслъун;АВАНСОМ;
цебеккунго;АВАНСОМ;
авантюризм;АВАНТЮРИЗМ;
питначилъи;АВАНТЮРИЗМ;
авантюрачи;АВАНТЮРИСТ;
авантюрист;АВАНТЮРИСТ;
питначи;АВАНТЮРИСТ;
авантюристияб;АВАНТЮРИСТИЧЕСКИЙ;
питначилъиялъулаб;АВАНТЮРИСТИЧЕСКИЙ;
авантюрачIужу;АВАНТЮРИСТКА;
авантюристка;АВАНТЮРИСТКА;
питначIужу;АВАНТЮРИСТКА;
авантюра гъорлъ бугеб;АВАНТЮРНЫЙ;
авантюрияб;АВАНТЮРНЫЙ;
питначилъиялъулаб;АВАНТЮРНЫЙ;
аварав;АВАРЕЦ;
магIарулав;АВАРЕЦ;
авария ккей;АВАРИЙНОСТЬ;
авариялъулаб;АВАРИЙНЫЙ;
авария;АВАРИЯ;
жагъаллъи;АВАРИЯ;
зарал ккей;АВАРИЯ;
зиян;АВАРИЯ;
аварай;АВАРКА;
магIарулай;АВАРКА;
авар;АВАРСКИЙ;
аваразул;АВАРСКИЙ;
магIарул;АВАРСКИЙ;
магIарулазул;АВАРСКИЙ;
аварал;АВАРЦЫ;
магIарулал;АВАРЦЫ;
август;АВГУСТ;
августалъул;АВГУСТОВСКИЙ;
авиабилет;АВИАБИЛЕТ;
самолеталъе билет;АВИАБИЛЕТ;
самолет боржунаго ккараб балагь;АВИАКАТАСТРОФА;
самолет борти;АВИАКАТАСТРОФА;
авиамухъ;АВИАЛИНИЯ;
авианух;АВИАЛИНИЯ;
авиамоделал гьарулев чи;АВИАМОДЕЛИСТ;
авиамоделист;АВИАМОДЕЛИСТ;
авиамоделияб;АВИАМОДЕЛЬНЫЙ;
авиапочта;АВИАПОЧТА;
самолетаз поч баччи;АВИАПОЧТА;
авиаразведка;АВИАРАЗВЕДКА;
самолеталъул кумекалдалъун разведка гьаби;АВИАРАЗВЕДКА;
самолетал гьари;АВИАСТРОЕНИЕ;
авиациялъулаб;АВИАЦИОННЫЙ;
авиация;АВИАЦИЯ;
балики;АВОСЬ;
нагагьлъун;АВОСЬ;
цощинаб;АВОСЬ;
гвай бан;АВРАЛ;
хехаб иш гьабизе тIаделъи;АВРАЛ;
гвай бан;АВРАЛЬНЫЙ;
киналго тIаделъун;АВРАЛЬНЫЙ;
хехго гьабулеб;АВРАЛЬНЫЙ;
Австралиялъул;АВСТРАЛИЙСКИЙ;
австралиялъулаб;АВСТРАЛИЙСКИЙ;
Австриялъул;АВСТРИЙСКИЙ;
австриялъулаб;АВСТРИЙСКИЙ;
машинаялъе жагъаллъи ккей;АВТОАВАРИЯ;
автобаза;АВТОБАЗА;
машинабазул база;АВТОБАЗА;
автобиографияб;АВТОБИОГРАФИЧЕСКИЙ;
автобиографиялъул;АВТОБИОГРАФИЧЕСКИЙ;
автобусазул;АВТОБУСНЫЙ;
автобусалъулаб;АВТОБУСНЫЙ;
автогенияб;АВТОГЕННЫЙ;
машинаби риччаялъул къецал;АВТОГОНКИ;
автограф;АВТОГРАФ;
машинабазул нухлулаб;АВТОДОРОЖНЫЙ;
машинаби хьвадулел нухазул;АВТОДОРОЖНЫЙ;
автозавод;АВТОЗАВОД;
машинаби гьарулеб завод;АВТОЗАВОД;
автомашинабазе цIатари;АВТОЗАПРАВОЧНЫЙ;
машинаялъе хIажалъулел тIагIелал тIолеб;АВТОЗАПЧАСТИ;
автокормушка;АВТОКОРМУШКА;
авторуссун;АВТОКОРМУШКА;
автолавка;АВТОЛАВКА;
автотукен;АВТОЛАВКА;
автомобилал хирияв чи;АВТОЛЮБИТЕЛЬ;
автоматизация;АВТОМАТИЗАЦИЯ;
жибго жиндасанго хIалтIулеблъун гьаби;АВТОМАТИЗАЦИЯ;
автоматаз хIалтIизабулеблъун гьабизе;АВТОМАТИЗИРОВАТЬ;
жибго жиндасанго хIалтIизабизе;АВТОМАТИЗИРОВАТЬ;
автоматаз хIалтIизабулеб;АВТОМАТИЧЕСКИЙ;
автоматикияб;АВТОМАТИЧЕСКИЙ;
автомобилал гьари;АВТОМОБИЛЕСТРОЕНИЕ;
автомобилал гьарулеб промышленность;АВТОМОБИЛЕСТРОЕНИЕ;
автомобилазул къецазул гIахьалчи;АВТОМОБИЛИСТ;
автомобилист;АВТОМОБИЛИСТ;
машина бачунев чи;АВТОМОБИЛИСТ;
автомобиль;АВТОМОБИЛЬ;
автомобилазул;АВТОМОБИЛЬНЫЙ;
автомобилалъул;АВТОМОБИЛЬНЫЙ;
автономияб;АВТОНОМНЫЙ;
жибго жиндаго чIараб;АВТОНОМНЫЙ;
автопокрышка;АВТОПОКРЫШКА;
машинадул покрышка;АВТОПОКРЫШКА;
автомобилал риччай;АВТОПРОБЕГ;
автор;АВТОР;
автомобилал къачIалеб;АВТОРЕМОНТНЫЙ;
божилъи;АВТОРИТЕТ;
къадру;АВТОРИТЕТ;
хIурмат;АВТОРИТЕТ;
божилъи бугеб;АВТОРИТЕТНЫЙ;
къадру бугев;АВТОРИТЕТНЫЙ;
къадруяб;АВТОРИТЕТНЫЙ;
кьучIаб;АВТОРИТЕТНЫЙ;
хIурмат бугев;АВТОРИТЕТНЫЙ;
хIурматаб;АВТОРИТЕТНЫЙ;
авторасул;АВТОРСКИЙ;
авторасулаб;АВТОРСКИЙ;
машинаби лъезе бихьизабураб бакI;АВТОСТОЯНКА;
автомобилазулгун тракторазул;АВТОТРАКТОРНЫЙ;
автотранспорт;АВТОТРАНСПОРТ;
машина бачине ругьун гьарулеб бакI;АВТОШКОЛА;
агглютинативияб;АГГЛЮТИНАТИВНЫЙ;
агентство;АГЕНТСТВО;
агентал;АГЕНТУРА;
агентура;АГЕНТУРА;
жасусал;АГЕНТУРА;
агентурияб;АГЕНТУРНЫЙ;
жасусазулаб;АГЕНТУРНЫЙ;
жасусазулаб разведка;АГЕНТУРНЫЙ;
агитациялъул;АГИТАЦИОННЫЙ;
агитация;АГИТАЦИЯ;
агитация гьабизе;АГИТИРОВАТЬ;
гьесизавизе;АГИТИРОВАТЬ;
кантIизавизе;АГИТИРОВАТЬ;
агитация гьабулебколлектив;АГИТКОЛЛЕКТИВ;
агитколлектив;АГИТКОЛЛЕКТИВ;
халкъалда гьоркьоб агитация гьабулеб;АГИТМАССОВЫЙ;
агитация гьабулеб пункт;АГИТПУНКТ;
агитпункт;АГИТПУНКТ;
щокъробе рухI бахараб хIалалда рукIине;АГОНИЗИРОВАТЬ;
рухI щокъробе бахин;АГОНИЯ;
холесул чIаголъиялъулахириял гIаламатал;АГОНИЯ;
аграрияб;АГРАРНЫЙ;
ракь хIалтIизабиялда хурхараб;АГРАРНЫЙ;
рекьарухъанлъиялъулаб;АГРАРНЫЙ;
агрегат;АГРЕГАТ;
квешаб;АГРЕССИВНОСТЬ;
тушманаб къасд букIин;АГРЕССИВНОСТЬ;
тушманаб;АГРЕССИВНЫЙ;
агрессия;АГРЕССИЯ;
гьужум;АГРЕССИЯ;
тIадекIанцIи;АГРЕССИЯ;
агробиологияб;АГРОБИОЛОГИЧЕСКИЙ;
агрономияб;АГРОНОМИЧЕСКИЙ;
росдал магIишаталъул рукIа-рахъиналда хурхараб;АГРОПРОМЫШЛЕННЫЙ;
агротехникияб;АГРОТЕХНИЧЕСКИЙ;
агул;АГУЛЬСКИЙ;
агулазул;АГУЛЬСКИЙ;
гIазаб-гIакъуба;АД;
жужахI;АД;
хисулел къватIисел шартIазде черх ругьунлъизабизе;АДАПТИРОВАТЬ;
балъ;АДАТ;
гIадат;АДАТ;
адвокатал;АДВОКАТУРА;
адвокатлъи;АДВОКАТУРА;
данд рекъон кколеб;АДЕКВАТНЫЙ;
аджар;АДЖАРСКИЙ;
аджаразул;АДЖАРСКИЙ;
аджика нигIмат;АДЖИКА;
административияб;АДМИНИСТРАТИВНЫЙ;
администратор;АДМИНИСТРАТОР;
бетIер;АДМИНИСТРАТОР;
хIаким;АДМИНИСТРАТОР;
административияб къагIидаялъ иш билълъанхъизабизе;АДМИНИСТРИРОВАТЬ;
адре не по;АДРЕС;
адресат;АДРЕСАТ;
жинде кагъат;АДРЕСАТ;
адресазулаб;АДРЕСНЫЙ;
адресалда балагьизабизе;АДРЕСОВАТЬ;
адресалда битIизе;АДРЕСОВАТЬ;
лъихъениги витIизе;АДРЕСОВАТЬ;
живго ун яги кагъат хъван;АДРЕСОВАТЬСЯ;
 хитIаб гьабизе;АДРЕСОВАТЬСЯ;
жужахIалъул;АДСКИЙ;
кутакаб;АДСКИЙ;
хIехьезе кIолареб;АДСКИЙ;
адыгазул;АДЫГЕЙСКИЙ;
адыгазулаб;АДЫГЕЙСКИЙ;
артIахараб;АЖУРНЫЙ;
узданаб;АЖУРНЫЙ;
цIалкIахараб;АЖУРНЫЙ;
гъира-шавкъ;АЗАРТ;
шавкъ;АЗАРТ;
гъира-шавкъалда;АЗАРТНО;
шавкъалда;АЗАРТНО;
шавкъ щун гьабулеб;АЗАРТНЫЙ;
шавкъалда гьабулеб;АЗАРТНЫЙ;
шавкъияб;АЗАРТНЫЙ;
азбука;АЗБУКА;
алиф;АЗБУКА;
букварь;АЗБУКА;
азбукалъулаб;АЗБУЧНЫЙ;
баянаб;АЗБУЧНЫЙ;
киназдаго лъалеб;АЗБУЧНЫЙ;
якъинаб;АЗБУЧНЫЙ;
азербайжаназул;АЗЕРБАЙДЖАНСКИЙ;
азербайжаназулаб;АЗЕРБАЙДЖАНСКИЙ;
азотияб;АЗОТНЫЙ;
вахI;АЙ;
аиакалъул;АИАЧНЫЙ;
аиакалъулаб;АИАЧНЫЙ;
хIавагIеч;АЙВА;
хIавагIечул;АЙВОВЫЙ;
хIавагIечулаб;АЙВОВЫЙ;
гьайда;АЙДА;
лакълакъ;АИСТ;
хIажилакълакъ;АИСТ;
академиялъулаб;АКАДЕМИЧЕСКИЙ;
академия;АКАДЕМИЯ;
акация;АКАЦИЯ;
акварель;АКВАРЕЛЬ;
тIабигIиял шартIазда рекъонккей;АККЛИМАТИЗАЦИЯ;
гьава-бакъалда;АККЛИМАТИЗИРОВАТЬ;
рекъа-решезабизе;АККЛИМАТИЗИРОВАТЬ;
гьава-бакъалда;АККЛИМАТИЗИРОВАТЬСЯ;
рекъа-решезе;АККЛИМАТИЗИРОВАТЬСЯ;
ругьунлъизе;АККЛИМАТИЗИРОВАТЬСЯ;
аккомпанемент;АККОМПАНЕМЕНТ;
аккомпаниатор;АККОМПАНИАТОР;
пишачи;АККОМПАНИАТОР;
кочIода яги кьурдиялда цадахъ музыка бачине;АККОМПАНИРОВАТЬ;
аккорд;АККОРД;
аккордияб;АККОРДНЫЙ;
аккредитивияб;АККРЕДИТИВНЫЙ;
батIияб пачалихъалде дипломатияв вакил витIизе;АККРЕДИТОВАТЬ;
вакил гьавизе;АККРЕДИТОВАТЬ;
бакIаризе;АККУМУЛИРОВАТЬ;
цIунизе;АККУМУЛИРОВАТЬ;
бакIари;АККУМУЛЯЦИЯ;
алхинчIого;АККУРАТНО;
бацIцIадго;АККУРАТНО;
гIужда;АККУРАТНО;
дурусго;АККУРАТНО;
жиндир заманалда;АККУРАТНО;
мухIканго;АККУРАТНО;
узданго;АККУРАТНО;
берцинлъи;АККУРАТНОСТЬ;
дуруслъи;АККУРАТНОСТЬ;
мухIканлъи;АККУРАТНОСТЬ;
рацIцIа-ракъалъи;АККУРАТНОСТЬ;
ретIа-къаялъул узданлъи;АККУРАТНОСТЬ;
узданлъи;АККУРАТНОСТЬ;
алхунареб;АККУРАТНЫЙ;
бацIцIадаб;АККУРАТНЫЙ;
берцинаб;АККУРАТНЫЙ;
вацIцIа-вакъадав;АККУРАТНЫЙ;
гIужда гьабулеб;АККУРАТНЫЙ;
дурусаб;АККУРАТНЫЙ;
къамартIав;АККУРАТНЫЙ;
мухIканаб;АККУРАТНЫЙ;
узданаб;АККУРАТНЫЙ;
акробат;АКРОБАТ;
палугьан;АКРОБАТ;
акробатика;АКРОБАТИКА;
палугьанлъи;АКРОБАТИКА;
палугьанчилъи;АКРОБАТИКА;
